Player,Position,Class,Latest Team,Season,Destination Team,Date Entered
Niko Kreuzer,,,,,,
P,SO,,,,,
Eastern Michigan,,,,,,
2025,,,,,,
Butler,,,,,,
7/24/2025,,,,,,
Eli Cartwright,,,,,,
P,SR,,,,,
Eastern Illinois,,,,,,
2025,,,,,,
Missouri-St. Louis,,,,,,
7/24/2025,,,,,,
Frank Menendez,,,,,,
P,SO,,,,,
Florida,,,,,,
2025,,,,,,
Miami,,,,,,
7/24/2025,,,,,,
Joseph Hoskins,,,,,,
IF,FR,,,,,
UC San Diego,,,,,,
2025,--,7/24/2025,,,,
Lyndon Glidewell,,,,,,
P,JR,,,,,
Austin Peay,,,,,,
2025,,,,,,
Miami,,,,,,
7/24/2025,,,,,,
Sam Myers,,,,,,
LF,SO,,,,,
TCU,,,,,,
2025,,,,,,
Arizona State,,,,,,
7/23/2025,,,,,,
Landen Lozier,,,,,,
2B,SO,,,,,
Minnesota,,,,,,
2025,,,,,,
Kansas,,,,,,
7/22/2025,,,,,,
Jack Opoien,,,,,,
3B,JR,,,,,
Southeast Missouri,,,,,,
2025,,,,,,
Harding,,,,,,
7/18/2025,,,,,,
Michael Benzor,,,,,,
P,JR,,,,,
Houston,,,,,,
2025,,,,,,
Dallas Baptist,,,,,,
7/18/2025,,,,,,
Dalton Hazlett,,,,,,
P,FR,,,,,
Campbell,,,,,,
2025,,,,,,
Gaston College,,,,,,
7/18/2025,,,,,,
Landyn Grant,,,,,,
P,FR,,,,,
Prairie View,,,,,,
2025,--,7/18/2025,,,,
Joshua Kapp,,,,,,
IF,FR,,,,,
Prairie View,,,,,,
2025,,,,,,
Bluefield State University,,,,,,
7/17/2025,,,,,,
Sam Silas,,,,,,
1B,SO,,,,,
Jacksonville State,,,,,,
2025,,,,,,
Georgia State,,,,,,
7/16/2025,,,,,,
Hayden Miller,,,,,,
3B,SO,,,,,
Middle Tennessee,,,,,,
2025,,,,,,
Bradley,,,,,,
7/16/2025,,,,,,
Isaiah Williams,,,,,,
P,SR,,,,,
San Jose State,,,,,,
2025,--,7/16/2025,,,,
Seve Medrano,,,,,,
P,GR,,,,,
Prairie View,,,,,,
2025,--,7/16/2025,,,,
Zach Crotchfelt,,,,,,
P,JR,,,,,
Texas Tech,,,,,,
2025,,,,,,
Troy,,,,,,
7/11/2025,,,,,,
Cole Crafton,,,,,,
OF,FR,,,,,
Louisville,,,,,,
2025,,,,,,
Illinois,,,,,,
7/11/2025,,,,,,
Adrian Mendoza,,,,,,
C,FR,,,,,
High Point,,,,,,
2025,,,,,,
Alabama State,,,,,,
7/10/2025,,,,,,
Tanner McCammon,,,,,,
3B,SO,,,,,
Appalachian State,,,,,,
2025,,,,,,
Wingate,,,,,,
7/10/2025,,,,,,
Wellington Hehn,,,,,,
P-IF,FR,,,,,
Florida A&M,,,,,,
2025,--,7/10/2025,,,,
Kade Thompson,,,,,,
C,FR,,,,,
Arizona,,,,,,
2025,,,,,,
Texas State,,,,,,
7/8/2025,,,,,,
Grady Faris,,,,,,
P,FR,,,,,
Cal State Fullerton,,,,,,
2025,,,,,,
Iowa Western,,,,,,
7/8/2025,,,,,,
Matty Go,,,,,,
DH,FR,,,,,
Marshall,,,,,,
2025,,,,,,
Augusta,,,,,,
7/8/2025,,,,,,
Caleb Estes,,,,,,
DH,JR,,,,,
Charlotte,,,,,,
2025,,,,,,
New Orleans,,,,,,
7/8/2025,,,,,,
Tanner Kaler,,,,,,
P,SO,,,,,
Charlotte,,,,,,
2025,,,,,,
George Mason,,,,,,
7/8/2025,,,,,,
Hunter Simmons,,,,,,
DH,SR,,,,,
Baylor,,,,,,
2025,--,7/8/2025,,,,
Kenny Winters,,,,,,
LF,FR,,,,,
California Baptist,,,,,,
2025,--,7/8/2025,,,,
Dylan Adelman,,,,,,
P,FR,,,,,
Chico State,,,,,,
2025,,,,,,
San Jose State,,,,,,
7/7/2025,,,,,,
Bryson Pierce,,,,,,
P,FR,,,,,
Louisiana Tech,,,,,,
2025,,,,,,
Bossier Parish,,,,,,
7/7/2025,,,,,,
Antonelli Savattere,,,,,,
2B,JR,,,,,
Texas Tech,,,,,,
2025,,,,,,
Houston,,,,,,
7/3/2025,,,,,,
Ethan Surowiec,,,,,,
IF,FR,,,,,
Ole Miss,,,,,,
2025,,,,,,
Florida,,,,,,
7/3/2025,,,,,,
Ben Craig,,,,,,
P,JR,,,,,
Charlotte,,,,,,
2025,--,7/3/2025,,,,
Carter Kelley,,,,,,
P,FR,,,,,
Lipscomb,,,,,,
2025,,,,,,
Nebraska,,,,,,
7/2/2025,,,,,,
Peyton Huff,,,,,,
P,SO,,,,,
Southern,,,,,,
2025,,,,,,
Sam Houston State,,,,,,
7/2/2025,,,,,,
Dalton Bargo,,,,,,
LF,JR,,,,,
Tennessee,,,,,,
2025,,,,,,
NC State,,,,,,
7/2/2025,,,,,,
Diego Gutierrez,,,,,,
P,JR,,,,,
Cal State Northridge,,,,,,
2025,,,,,,
San Diego,,,,,,
7/2/2025,,,,,,
Tate Lewis,,,,,,
C,JR,,,,,
Southern Illinois,,,,,,
2025,,,,,,
Northwest Nazarene,,,,,,
7/2/2025,,,,,,
Cooper Moore,,,,,,
P,SO,,,,,
Kansas,,,,,,
2025,,,,,,
LSU,,,,,,
7/2/2025,,,,,,
Sam Tookoian,,,,,,
P,JR,,,,,
Ole Miss,,,,,,
2025,--,7/2/2025,,,,
Joe McBride,,,,,,
DH,JR,,,,,
Utah Valley,,,,,,
2025,--,7/2/2025,,,,
Connor Osier,,,,,,
P,FR,,,,,
Houston,,,,,,
2025,--,7/2/2025,,,,
Holden Carpenter,,,,,,
P,JR,,,,,
Murray State,,,,,,
2025,,,,,,
Lenoir-Rhyne,,,,,,
7/1/2025,,,,,,
Cooper Smith,,,,,,
P,JR,,,,,
Stetson,,,,,,
2025,,,,,,
Babson,,,,,,
7/1/2025,,,,,,
Evan Taveras,,,,,,
C,FR,,,,,
Miami,,,,,,
2025,,,,,,
UCF,,,,,,
7/1/2025,,,,,,
Cooper Robinson,,,,,,
P,JR,,,,,
Butler,,,,,,
2025,,,,,,
Wright State,,,,,,
7/1/2025,,,,,,
Christian Dunn,,,,,,
C,JR,,,,,
Grambling,,,,,,
2025,,,,,,
Alcorn State,,,,,,
7/1/2025,,,,,,
Conner Linn,,,,,,
P,GR,,,,,
Northern Kentucky,,,,,,
2025,,,,,,
Indiana,,,,,,
7/1/2025,,,,,,
Amare McGown,,,,,,
P,FR,,,,,
Southern,,,,,,
2025,,,,,,
Eastern Arizona,,,,,,
7/1/2025,,,,,,
Nate Stiveson,,,,,,
IF,FR,,,,,
Stanford,,,,,,
2025,,,,,,
Loyola Marymount,,,,,,
7/1/2025,,,,,,
Mason Grube,,,,,,
C,FR,,,,,
Alabama State,,,,,,
2025,,,,,,
Regis,,,,,,
7/1/2025,,,,,,
Ben Rosin,,,,,,
P,JR,,,,,
Kansas State,,,,,,
2025,,,,,,
Murray State,,,,,,
7/1/2025,,,,,,
Keenan Mork,,,,,,
P,SO,,,,,
Notre Dame,,,,,,
2025,,,,,,
FGCU,,,,,,
7/1/2025,,,,,,
Jamie Robertson,,,,,,
P,SO,,,,,
San Diego,,,,,,
2025,,,,,,
Tennessee Tech,,,,,,
7/1/2025,,,,,,
Chance Mako,,,,,,
P,SO,,,,,
Coastal Carolina,,,,,,
2025,,,,,,
Gardner-Webb,,,,,,
7/1/2025,,,,,,
Packy Bradley-Cooney,,,,,,
P,SR,,,,,
Alabama,,,,,,
2025,,,,,,
Miami,,,,,,
7/1/2025,,,,,,
Alex Gay,,,,,,
P,FR,,,,,
Louisville,,,,,,
2025,,,,,,
Miami (OH),,,,,,
7/1/2025,,,,,,
Jordan Taylor,,,,,,
LF,JR,,,,,
Stetson,,,,,,
2025,,,,,,
Coastal Carolina,,,,,,
7/1/2025,,,,,,
Chase Krewson,,,,,,
LF,SO,,,,,
UCF,,,,,,
2025,,,,,,
Rutgers,,,,,,
7/1/2025,,,,,,
Grant Ross,,,,,,
1B,JR,,,,,
Illinois,,,,,,
2025,,,,,,
Milwaukee,,,,,,
7/1/2025,,,,,,
Nate Taylor,,,,,,
P,FR,,,,,
Georgia,,,,,,
2025,,,,,,
Vanderbilt,,,,,,
7/1/2025,,,,,,
Drew Rerick,,,,,,
P,FR,,,,,
Texas,,,,,,
2025,,,,,,
Oklahoma,,,,,,
7/1/2025,,,,,,
Kieran Bailey,,,,,,
P,JR,,,,,
SIUE,,,,,,
2025,--,7/1/2025,,,,
Jakob Wax,,,,,,
SS,SR,,,,,
Troy,,,,,,
2025,--,7/1/2025,,,,
Anthony Martinez,,,,,,
P,JR,,,,,
SIUE,,,,,,
2025,--,7/1/2025,,,,
Max Murray,,,,,,
P-OF,FR,,,,,
California,,,,,,
2025,--,7/1/2025,,,,
Ziegen Farley,,,,,,
P,JR,,,,,
BYU,,,,,,
2025,--,7/1/2025,,,,
Nolan Ficklin,,,,,,
P,JR,,,,,
BYU,,,,,,
2025,--,7/1/2025,,,,
Vaughn Major,,,,,,
P,FR,,,,,
Cal Poly,,,,,,
2025,--,7/1/2025,,,,
Carlos Colunga,,,,,,
P,JR,,,,,
Dayton,,,,,,
2024,--,7/1/2025,,,,
Chad Born,,,,,,
RF,SR,,,,,
Coastal Carolina,,,,,,
2025,--,7/1/2025,,,,
Micah Davis,,,,,,
P,SR,,,,,
Rice,,,,,,
2025,--,7/1/2025,,,,
Landry Mead,,,,,,
P,SR,,,,,
Georgia Southern,,,,,,
2025,--,7/1/2025,,,,
Matthew Helms,,,,,,
P,FR,,,,,
Northern Kentucky,,,,,,
2025,--,7/1/2025,,,,
Tyler Cook,,,,,,
C,FR,,,,,
Troy,,,,,,
2025,--,7/1/2025,,,,
Austin Fisher,,,,,,
P,SO,,,,,
Oakland,,,,,,
2025,--,7/1/2025,,,,
Ben Allen,,,,,,
IF-C,FR,,,,,
Portland,,,,,,
2025,--,7/1/2025,,,,
Eric Anderson,,,,,,
P,SO,,,,,
UMES,,,,,,
2025,--,7/1/2025,,,,
Lukas Farris,,,,,,
IF,JR,,,,,
Georgia,,,,,,
2025,,,,,,
Georgia Southern,,,,,,
6/30/2025,,,,,,
Jeremiah Eneix,,,,,,
P,JR,,,,,
Coppin State,,,,,,
2025,,,,,,
Southern,,,,,,
6/30/2025,,,,,,
Mason Swinney,,,,,,
P,JR,,,,,
Dallas Baptist,,,,,,
2025,,,,,,
North Greenville,,,,,,
6/30/2025,,,,,,
Colby McNeely,,,,,,
P,JR,,,,,
Rider,,,,,,
2025,,,,,,
Winthrop,,,,,,
6/30/2025,,,,,,
Isaac Evaniew,,,,,,
P,JR,,,,,
Oregon,,,,,,
2025,,,,,,
Little Rock,,,,,,
6/30/2025,,,,,,
Sam Boyle,,,,,,
P,JR,,,,,
Oregon,,,,,,
2025,,,,,,
San Jose State,,,,,,
6/30/2025,,,,,,
Robbie O'Connor,,,,,,
P,SO,,,,,
UMass,,,,,,
2025,,,,,,
Northeastern,,,,,,
6/30/2025,,,,,,
Michael Bilo,,,,,,
P,FR,,,,,
George Mason,,,,,,
2025,,,,,,
Wright State,,,,,,
6/30/2025,,,,,,
Easton Winfield,,,,,,
LF,SO,,,,,
Texas,,,,,,
2025,,,,,,
Houston,,,,,,
6/30/2025,,,,,,
Aiden O'Connell,,,,,,
P,FR,,,,,
Vanderbilt,,,,,,
2025,,,,,,
Duke,,,,,,
6/30/2025,,,,,,
Brayden Lawrence,,,,,,
P,FR,,,,,
Mercer,,,,,,
2025,,,,,,
UAH,,,,,,
6/30/2025,,,,,,
Matthew Totten,,,,,,
P,FR,,,,,
Purdue,,,,,,
2025,,,,,,
North Dakota State,,,,,,
6/30/2025,,,,,,
Logan Reddemann,,,,,,
P,SO,,,,,
San Diego,,,,,,
2025,,,,,,
UCLA,,,,,,
6/30/2025,,,,,,
Brett White,,,,,,
IF,FR,,,,,
Baylor,,,,,,
2025,,,,,,
Iowa,,,,,,
6/30/2025,,,,,,
Matthew Heyl,,,,,,
P,SO,,,,,
Stetson,,,,,,
2025,,,,,,
UCF,,,,,,
6/30/2025,,,,,,
Louis Bussard,,,,,,
LF,FR,,,,,
Abilene Christian,,,,,,
2025,,,,,,
Illinois State,,,,,,
6/30/2025,,,,,,
Alden Quintanilla,,,,,,
IF-OF,FR,,,,,
Chico State,,,,,,
2023,,,,,,
UT Permian Basin,,,,,,
6/30/2025,,,,,,
Elijah Coston,,,,,,
P,FR,,,,,
VCU,,,,,,
2025,,,,,,
Florida Southwestern State,,,,,,
6/30/2025,,,,,,
Collin McLemore,,,,,,
2B,SO,,,,,
Arkansas-Pine Bluff,,,,,,
2025,,,,,,
Southwest Baptist,,,,,,
6/30/2025,,,,,,
Nolan Johnson,,,,,,
C,FR,,,,,
Miami,,,,,,
2025,,,,,,
Duke,,,,,,
6/30/2025,,,,,,
Eliot Medlock,,,,,,
2B,FR,,,,,
Bryant,,,,,,
2025,,,,,,
Rider,,,,,,
6/30/2025,,,,,,
Cal Scolari,,,,,,
P,SO,,,,,
San Diego,,,,,,
2025,,,,,,
Oregon,,,,,,
6/30/2025,,,,,,
Jaden Flores,,,,,,
3B,FR,,,,,
Texas Southern,,,,,,
2025,,,,,,
Southern Illinois,,,,,,
6/30/2025,,,,,,
Wesley Jordan,,,,,,
LF,SR,,,,,
Baylor,,,,,,
2025,,,,,,
Texas A&M,,,,,,
6/30/2025,,,,,,
Evan Vasiliou,,,,,,
P,SO,,,,,
UNLV,,,,,,
2025,,,,,,
Xavier,,,,,,
6/30/2025,,,,,,
Hudson Barrett,,,,,,
P,JR,,,,,
UC Santa Barbara,,,,,,
2025,,,,,,
Oklahoma State,,,,,,
6/30/2025,,,,,,
Trent Caraway,,,,,,
3B,SO,,,,,
Oregon State,,,,,,
2025,,,,,,
LSU,,,,,,
6/30/2025,,,,,,
Ashton Larson,,,,,,
DH,SO,,,,,
LSU,,,,,,
2025,,,,,,
Texas,,,,,,
6/30/2025,,,,,,
Adrian Jimenez,,,,,,
SS,FR,,,,,
VCU,,,,,,
2025,,,,,,
Charlotte,,,,,,
6/30/2025,,,,,,
Corey Kling,,,,,,
P,SO,,,,,
USF,,,,,,
2025,,,,,,
Arizona,,,,,,
6/30/2025,,,,,,
Craig Kalkbrenner,,,,,,
P,FR,,,,,
Mercer,,,,,,
2025,,,,,,
Georgia Southern,,,,,,
6/30/2025,,,,,,
Joey Nerat,,,,,,
RF,JR,,,,,
Dallas Baptist,,,,,,
2025,,,,,,
Iowa,,,,,,
6/30/2025,,,,,,
Jack Giordano,,,,,,
P,FR,,,,,
San Diego,,,,,,
2025,,,,,,
Oregon State,,,,,,
6/30/2025,,,,,,
Kade Smith,,,,,,
P,FR,,,,,
TCU,,,,,,
2025,,,,,,
USF,,,,,,
6/30/2025,,,,,,
Miles Ghossein,,,,,,
IF,FR,,,,,
Tarleton State,,,,,,
2025,--,6/30/2025,,,,
Aydin Palmer,,,,,,
P,SO,,,,,
South Carolina,,,,,,
2025,,,,,,
Francis Marion,,,,,,
6/30/2025,,,,,,
Nate Leibold,,,,,,
P,SR,,,,,
UCLA,,,,,,
2025,--,6/30/2025,,,,
Casey Tallent,,,,,,
P,JR,,,,,
Clemson,,,,,,
2025,--,6/30/2025,,,,
Bryson Arnette,,,,,,
3B,SR,,,,,
Lindenwood,,,,,,
2025,--,6/30/2025,,,,
Cason Engert,,,,,,
P,SO,,,,,
East Tennessee State,,,,,,
2025,--,6/30/2025,,,,
Chase Houselog,,,,,,
P,JR,,,,,
Incarnate Word,,,,,,
2025,--,6/30/2025,,,,
Levi Brown,,,,,,
IF,FR,,,,,
Liberty,,,,,,
2025,--,6/30/2025,,,,
Tee Southisene,,,,,,
P,FR,,,,,
USC,,,,,,
2025,--,6/30/2025,,,,
Zach Applegate,,,,,,
P,FR,,,,,
Abilene Christian,,,,,,
2025,--,6/30/2025,,,,
Alex Rodriguez,,,,,,
LF,FR,,,,,
UCF,,,,,,
2025,--,6/30/2025,,,,
Christian Mittleman,,,,,,
OF,FR,,,,,
Bradley,,,,,,
2025,--,6/30/2025,,,,
Ty Baker,,,,,,
P,FR,,,,,
Texas A&M,,,,,,
2025,,,,,,
Rice,,,,,,
6/29/2025,,,,,,
Ben Trucke,,,,,,
1B,SO,,,,,
St. Thomas (MN),,,,,,
2025,,,,,,
Bethel (MN),,,,,,
6/29/2025,,,,,,
Blake Simpson,,,,,,
2B,JR,,,,,
Missouri,,,,,,
2025,,,,,,
Little Rock,,,,,,
6/29/2025,,,,,,
Bryce Navarre,,,,,,
P,FR,,,,,
Texas,,,,,,
2025,,,,,,
South Carolina,,,,,,
6/29/2025,,,,,,
Ashton Crowther,,,,,,
P,SO,,,,,
South Carolina,,,,,,
2025,,,,,,
Alabama,,,,,,
6/29/2025,,,,,,
Austin Jacobs,,,,,,
IF,FR,,,,,
Clemson,,,,,,
2025,,,,,,
UCF,,,,,,
6/29/2025,,,,,,
Rex Solle,,,,,,
P,FR,,,,,
UCLA,,,,,,
2025,--,6/29/2025,,,,
Shawn Phillips,,,,,,
FR,,,,,,
UMES,,,,,,
2025,--,6/29/2025,,,,
Maddox Keo,,,,,,
P,FR,,,,,
Rice,,,,,,
2025,--,6/29/2025,,,,
Xavier Farnum,,,,,,
C,FR,,,,,
San Diego State,,,,,,
2025,,,,,,
Southern Illinois,,,,,,
6/28/2025,,,,,,
Zach Yorke,,,,,,
1B,JR,,,,,
Grand Canyon,,,,,,
2025,,,,,,
LSU,,,,,,
6/28/2025,,,,,,
Nyan Hayes,,,,,,
SS,SR,,,,,
Grambling,,,,,,
2025,,,,,,
Oregon State,,,,,,
6/28/2025,,,,,,
Tate Hess,,,,,,
P,SO,,,,,
Louisiana,,,,,,
2025,,,,,,
Dallas Baptist,,,,,,
6/28/2025,,,,,,
Andrew Raymond,,,,,,
C,FR,,,,,
George Mason,,,,,,
2025,,,,,,
Mississippi State,,,,,,
6/28/2025,,,,,,
Wyatt Peifer,,,,,,
3B,JR,,,,,
James Madison,,,,,,
2025,,,,,,
NC State,,,,,,
6/28/2025,,,,,,
Tyler Inge,,,,,,
SS,FR,,,,,
Michigan,,,,,,
2025,,,,,,
Oregon State,,,,,,
6/28/2025,,,,,,
Beau Sylvester,,,,,,
C,SO,,,,,
Oklahoma State,,,,,,
2025,,,,,,
Arizona,,,,,,
6/28/2025,,,,,,
Jaden Knight,,,,,,
RF,FR,,,,,
Notre Dame,,,,,,
2025,--,6/28/2025,,,,
Carter McKay,,,,,,
DH,FR,,,,,
Memphis,,,,,,
2025,--,6/28/2025,,,,
Chase Wagner,,,,,,
P,FR,,,,,
Arizona State,,,,,,
2025,,,,,,
Saint Mary's (CA),,,,,,
6/27/2025,,,,,,
Justin Stimpson,,,,,,
P,JR,,,,,
Southern Indiana,,,,,,
2025,,,,,,
Kentucky Wesleyan,,,,,,
6/27/2025,,,,,,
Jared Hughes,,,,,,
P,SR,,,,,
Long Island,,,,,,
2025,,,,,,
Cameron,,,,,,
6/27/2025,,,,,,
Jacob Veczko,,,,,,
OF,JR,,,,,
Dayton,,,,,,
2025,,,,,,
Iona,,,,,,
6/27/2025,,,,,,
Braxton Brooks,,,,,,
RF,SO,,,,,
UAB,,,,,,
2025,,,,,,
West Georgia,,,,,,
6/27/2025,,,,,,
Kelly Crumpton,,,,,,
P,SR,,,,,
Troy,,,,,,
2025,,,,,,
North Alabama,,,,,,
6/27/2025,,,,,,
Colin Woodham,,,,,,
P,SO,,,,,
Jacksonville State,,,,,,
2025,,,,,,
West Alabama,,,,,,
6/27/2025,,,,,,
Alexander Wright,,,,,,
OF,JR,,,,,
Illinois,,,,,,
2025,,,,,,
Illinois-Chicago,,,,,,
6/27/2025,,,,,,
Cooper Vance,,,,,,
SS,JR,,,,,
Eastern Michigan,,,,,,
2025,,,,,,
Oregon State,,,,,,
6/27/2025,,,,,,
Michael Gillen,,,,,,
P,JR,,,,,
Clemson,,,,,,
2025,,,,,,
UCF,,,,,,
6/27/2025,,,,,,
Andrew Bowers,,,,,,
P,SO,,,,,
Coastal Carolina,,,,,,
2025,,,,,,
The Citadel,,,,,,
6/27/2025,,,,,,
Connor Chicoli,,,,,,
P,FR,,,,,
Georgia Tech,,,,,,
2025,,,,,,
South Carolina,,,,,,
6/27/2025,,,,,,
Brodie Purcell,,,,,,
P,SO,,,,,
USC,,,,,,
2025,,,,,,
Florida State,,,,,,
6/27/2025,,,,,,
Dylan Smith,,,,,,
P,JR,,,,,
Northern Colorado,,,,,,
2025,,,,,,
San Jose State,,,,,,
6/27/2025,,,,,,
Ryan Vermillion,,,,,,
P,SO,,,,,
Jacksonville State,,,,,,
2025,,,,,,
Samford,,,,,,
6/27/2025,,,,,,
Michael Gupton,,,,,,
CF,JR,,,,,
Samford,,,,,,
2025,,,,,,
Memphis,,,,,,
6/27/2025,,,,,,
Ryan Jones,,,,,,
C,FR,,,,,
Canisius,,,,,,
2025,,,,,,
Akron,,,,,,
6/27/2025,,,,,,
Max Mousser,,,,,,
P,FR,,,,,
Arizona State,,,,,,
2025,,,,,,
Salt Lake,,,,,,
6/27/2025,,,,,,
Andrew Gauna,,,,,,
DH,SR,,,,,
Cal State Northridge,,,,,,
2025,,,,,,
San Diego,,,,,,
6/27/2025,,,,,,
Ryan Combs,,,,,,
P,JR,,,,,
Tennessee,,,,,,
2025,,,,,,
Charlotte,,,,,,
6/27/2025,,,,,,
Maddax Peck,,,,,,
P,FR,,,,,
BYU,,,,,,
2025,,,,,,
Utah Valley,,,,,,
6/27/2025,,,,,,
Robbie Knowles,,,,,,
P,JR,,,,,
Kansas,,,,,,
2025,--,6/27/2025,,,,
Stone Cushing,,,,,,
P,SR,,,,,
BYU,,,,,,
2025,--,6/27/2025,,,,
Luke Rodriguez,,,,,,
P,SO,,,,,
UCLA,,,,,,
2025,--,6/27/2025,,,,
Arturo Garcia,,,,,,
P,FR,,,,,
UTRGV,,,,,,
2025,--,6/27/2025,,,,
Myles Walton,,,,,,
LF,SO,,,,,
Sacramento State,,,,,,
2025,,,,,,
Chico State,,,,,,
6/26/2025,,,,,,
Sutton Lewis,,,,,,
IF,FR,,,,,
Louisiana Tech,,,,,,
2025,,,,,,
UL Monroe,,,,,,
6/26/2025,,,,,,
Benjamin Cordrey,,,,,,
OF,SO,,,,,
Queens (NC),,,,,,
2025,,,,,,
Wilmington (DE),,,,,,
6/26/2025,,,,,,
Parker Thomas,,,,,,
P,SO,,,,,
Wright State,,,,,,
2025,,,,,,
George Mason,,,,,,
6/26/2025,,,,,,
Tadan Bell,,,,,,
P,SO,,,,,
Coastal Carolina,,,,,,
2025,,,,,,
East Tennessee State,,,,,,
6/26/2025,,,,,,
Wayland Crane,,,,,,
P,JR,,,,,
Utah Valley,,,,,,
2025,,,,,,
BYU,,,,,,
6/26/2025,,,,,,
Elias Holbert,,,,,,
P,JR,,,,,
Coastal Carolina,,,,,,
2025,,,,,,
VCU,,,,,,
6/26/2025,,,,,,
Matthew Lopez,,,,,,
P,JR,,,,,
CSU Bakersfield,,,,,,
2025,,,,,,
University of Mary,,,,,,
6/26/2025,,,,,,
Camden Bates,,,,,,
RF,SO,,,,,
Arizona State,,,,,,
2025,,,,,,
Grand Canyon,,,,,,
6/26/2025,,,,,,
Henry Brummel,,,,,,
P,FR,,,,,
Indiana,,,,,,
2025,,,,,,
Illinois State,,,,,,
6/26/2025,,,,,,
Landon Moran,,,,,,
1B,JR,,,,,
Stetson,,,,,,
2025,,,,,,
UCF,,,,,,
6/26/2025,,,,,,
Max Mendes,,,,,,
P,FR,,,,,
Cal State Northridge,,,,,,
2025,,,,,,
Long Beach State,,,,,,
6/26/2025,,,,,,
Aidan Hayse,,,,,,
P,FR,,,,,
Tennessee,,,,,,
2025,,,,,,
Mercer,,,,,,
6/26/2025,,,,,,
TJ Pompey,,,,,,
3B,SO,,,,,
Texas Tech,,,,,,
2025,,,,,,
Arkansas,,,,,,
6/26/2025,,,,,,
Tate Strickland,,,,,,
P,FR,,,,,
Tennessee,,,,,,
2025,--,6/26/2025,,,,
Ryan Bilka,,,,,,
P,JR,,,,,
Richmond,,,,,,
2025,,,,,,
Miami,,,,,,
6/26/2025,,,,,,
Davin Pollard,,,,,,
P,JR,,,,,
Austin Peay,,,,,,
2025,,,,,,
Queens (NC),,,,,,
6/26/2025,,,,,,
Toussaint Bythewood,,,,,,
CF,JR,,,,,
UCLA,,,,,,
2025,--,6/26/2025,,,,
Brodey Bitove,,,,,,
RF,FR,,,,,
Pepperdine,,,,,,
2025,,,,,,
Indiana,,,,,,
6/26/2025,,,,,,
Owen Hull,,,,,,
DH,SO,,,,,
George Mason,,,,,,
2025,,,,,,
North Carolina,,,,,,
6/26/2025,,,,,,
Sebastian Paz,,,,,,
1B,SR,,,,,
Delaware State,,,,,,
2025,,,,,,
Gardner-Webb,,,,,,
6/25/2025,,,,,,
Luka Pintar,,,,,,
P,FR,,,,,
San Diego State,,,,,,
2025,,,,,,
San Jose State,,,,,,
6/25/2025,,,,,,
Will Simmons,,,,,,
P,JR,,,,,
North Carolina,,,,,,
2025,,,,,,
Augustana (SD),,,,,,
6/25/2025,,,,,,
Xaige Lancaster,,,,,,
3B,SO,,,,,
Hawaii,,,,,,
2025,,,,,,
Jessup,,,,,,
6/25/2025,,,,,,
Hideki Prather,,,,,,
C,SO,,,,,
Clemson,,,,,,
2025,,,,,,
California,,,,,,
6/25/2025,,,,,,
Luke Matta,,,,,,
P,JR,,,,,
Dayton,,,,,,
2025,,,,,,
La Salle,,,,,,
6/25/2025,,,,,,
Joey Volchko,,,,,,
P,SO,,,,,
Stanford,,,,,,
2025,,,,,,
